site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K
A4,B4,A4 B4,,bucket,2023-10-09,11:11:29,11:15:04,2023-10-09 11:11:29,2023-10-09 11:15:04,,,,,,,,,,
A4,B3,A4 B3,,bucket,2023-10-09,11:16:15,11:19:30,2023-10-09 11:16:15,2023-10-09 11:19:30,,,,,,,,,,
A4,B2,A4 B2,,bucket,2023-10-09,11:21:00,11:24:15,2023-10-09 11:21:00,2023-10-09 11:24:15,,,,,,,,,,
A4,B1,A4 B1,,bucket,2023-10-09,11:26:30,11:29:45,2023-10-09 11:26:30,2023-10-09 11:29:45,,,,,,,,,,
A3,B1,A3 B1,,bucket,2023-10-09,11:39:30,11:46:30,2023-10-09 11:39:30,2023-10-09 11:46:30,,,,,,,,,,
A3,B2,A3 B2,,bucket,2023-10-09,11:49:45,11:53:00,2023-10-09 11:50:00,2023-10-09 11:53:00,,,,,,,,,,
A3,B3,A3 B3,,bucket,2023-10-09,11:58:30,12:01:30,2023-10-09 11:58:30,2023-10-09 12:01:30,,,,,,,,,,
A3,B4,A3 B4,,bucket,2023-10-09,12:03:15,12:06:15,2023-10-09 12:03:15,2023-10-09 12:06:15,,,,,,,,,,
A2,B3,A2 B3,,bucket,2023-10-09,12:17:30,12:20:30,2023-10-09 12:17:30,2023-10-09 12:20:30,,,,,,,,,,
A2,B4,A2 B4,,bucket,2023-10-09,12:22:30,12:25:45,2023-10-09 12:22:30,2023-10-09 12:22:45,,,,,,,,,,
A2,B2,A2 B2,,bucket,2023-10-09,12:28:00,12:31:15,2023-10-09 12:28:00,2023-10-09 12:30:45,,,,,,,,,,
A2,B1,A2 B1,,bucket,2023-10-09,12:34:15,12:37:00,2023-10-09 12:34:15,2023-10-09 12:37:00,,,,,,,,,,
A1,B1,A1 B1,,bucket,2023-10-09,12:47:30,12:50:45,2023-10-09 12:47:30,2023-10-09 12:50:45,,,,,,,,,,
A1,B4,A1 B4,,bucket,2023-10-09,12:53:45,12:57:15,2023-10-09 12:54:30,2023-10-09 12:57:15,,,,,,,,,,
A1,B3,A1 B3,,bucket,2023-10-09,12:58:30,13:01:45,2023-10-09 12:59:30,2023-10-09 13:01:45,,,,,,,,,,
A1,B2,A1 B2,,bucket,2023-10-09,13:04:30,13:07:45,2023-10-09 13:04:30,2023-10-09 13:07:45,,,,,,,,,,
