site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K,
ST2,Stable,ST2 S1,clear,1.5,2023-10-10,14:53:45,14:57:30,2023-10-10 14:53:45,2023-10-10 14:57:30,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S1,dark,1.5,2023-10-10,14:59:30,15:02:00,2023-10-10 14:59:00,2023-10-10 15:02:00,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S1,soil,pvc,2023-10-10,14:46:15,14:50:15,2023-10-10 14:46:15,2023-10-10 14:50:15,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S2,clear,1.5,2023-10-10,14:24:45,14:27:45,2023-10-10 14:24:45,2023-10-10 14:27:45,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S2,dark,1.5,2023-10-10,14:30:00,14:33:00,2023-10-10 14:30:00,2023-10-10 14:33:00,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S2,soil,pvc,2023-10-10,14:19:15,14:22:15,2023-10-10 14:19:15,2023-10-10 14:22:15,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S3,clear,1.5,2023-10-10,13:45:45,13:48:45,2023-10-10 13:46:00,2023-10-10 13:48:45,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S3,dark,1.5,2023-10-10,13:50:00,13:53:00,2023-10-10 13:50:00,2023-10-10 13:53:00,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S3,soil,pvc,2023-10-10,13:39:45,13:42:40,2023-10-10 13:39:45,2023-10-10 13:42:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U1,clear,1.5,2023-10-10,15:09:30,15:12:45,2023-10-10 15:12:15,2023-10-10 15:15:15,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U1,dark,1.5,2023-10-10,15:13:45,15:16:45,2023-10-10 15:16:00,2023-10-10 15:19:00,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U1,soil,pvc,2023-10-10,15:04:15,15:07:15,2023-10-10 15:06:45,2023-10-10 15:09:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U2,clear,1.5,2023-10-10,14:03:30,14:06:30,2023-10-10 14:03:45,2023-10-10 14:06:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U2,dark,1.5,2023-10-10,14:08:30,14:11:30,2023-10-10 14:08:30,2023-10-10 14:11:30,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U2,soil,pvc,2023-10-10,13:57:45,14:00:45,2023-10-10 13:58:00,2023-10-10 14:00:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U3,clear,1.5,2023-10-10,13:24:30,13:27:30,2023-10-10 13:24:30,2023-10-10 13:27:30,,,,,,,,,23.89,297.0,
ST2,Unstable,ST2 U3,dark,1.5,2023-10-10,13:29:00,13:33:30,2023-10-10 13:29:00,2023-10-10 13:32:00,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U3,soil,pvc,2023-10-10,13:18:45,13:21:45,2023-10-10 13:18:45,2023-10-10 13:21:45,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S1,clear,1.5,2023-10-10,11:40:15,11:43:30,2023-10-10 11:40:30,2023-10-10 11:43:30,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S1,dark,1.5,2023-10-10,11:44:00,11:47:15,2023-10-10 11:44:00,2023-10-10 11:47:00,,,,,,,,,23.89,297.0,
