site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K,
ST2,Stable,ST2 S1,clear,1.5,2023-10-10,14:53:45,14:57:30,2023-10-10 14:53:45,2023-10-10 14:57:30,31.12,<0.0001,0.000003,HMR,-33.81,<0.0001,0.0010,LM,24.44,297.6,
ST2,Stable,ST2 S1,dark,1.5,2023-10-10,14:59:30,15:02:00,2023-10-10 14:59:00,2023-10-10 15:02:00,4.99,<0.0001,0.000000,LM,37.91,<0.0001,0.0063,HMR,24.44,297.6,
ST2,Stable,ST2 S1,soil,pvc,2023-10-10,14:46:15,14:50:15,2023-10-10 14:46:15,2023-10-10 14:50:15,0.67,<0.0001,<0.0001,HMR,9.65,<0.0001,0.0073,HMR,24.44,297.6,
ST2,Stable,ST2 S2,clear,1.5,2023-10-10,14:24:45,14:27:45,2023-10-10 14:25:15,2023-10-10 14:26:45,33.61,<0.0001,0.000010,HMR,-10.14,<0.0001,0.0017,LM,24.44,297.6,
ST2,Stable,ST2 S2,dark,1.5,2023-10-10,14:30:00,14:33:00,2023-10-10 14:30:00,2023-10-10 14:33:00,22.91,<0.0001,<0.0001,HMR,17.72,<0.0001,0.0023,HMR,24.44,297.6,
ST2,Stable,ST2 S2,soil,pvc,2023-10-10,14:19:15,14:22:15,2023-10-10 14:19:15,2023-10-10 14:22:15,41.28,<0.0001,0.000004,HMR,14.44,<0.0001,<0.0001,HMR,24.44,297.6,
ST2,Stable,ST2 S3,clear,1.5,2023-10-10,13:45:45,13:48:45,2023-10-10 13:47:00,2023-10-10 13:48:45,13.59,<0.0001,0.000000,LM,-26.94,<0.0001,0.0012,LM,24.44,297.6,
ST2,Stable,ST2 S3,dark,1.5,2023-10-10,13:50:00,13:53:00,2023-10-10 13:50:00,2023-10-10 13:53:00,-17.05,<0.0001,0.000005,HMR,44.21,<0.0001,0.0043,HMR,24.44,297.6,
ST2,Stable,ST2 S3,soil,pvc,2023-10-10,13:39:45,13:42:40,2023-10-10 13:39:45,2023-10-10 13:42:45,0.07,0.071,0.000003,LM,9.70,<0.0001,0.0247,HMR,24.44,297.6,
ST2,Unstable,ST2 U1,clear,1.5,2023-10-10,15:09:30,15:12:45,2023-10-10 15:12:45,2023-10-10 15:15:15,26.62,<0.0001,0.000004,HMR,-14.92,<0.0001,0.0008,LM,24.44,297.6,
ST2,Unstable,ST2 U1,dark,1.5,2023-10-10,15:13:45,15:16:45,2023-10-10 15:16:00,2023-10-10 15:19:00,26.26,<0.0001,0.000005,HMR,23.82,<0.0001,0.0011,LM,24.44,297.6,
