site,plot_type,plot_ID,date,surface_water,watertable_depth,elevation,temp_soil,temp_air,irradiance,solar_noon,pw_temp,pw_salinity,pw_ph,plant_type,live_leaf_num,est_live_area,est_total_area
ST1,Stable,ST1 S1,2023-07-11,1,,,,,,,,,,,,,
ST1,Stable,ST1 S2,2023-07-11,0,,,,,,,,,,,,,
ST1,Stable,ST1 S3,2023-07-11,1,,,,,,,,,,,,,
ST1,Unstable,ST1 U1,2023-07-11,1,,,,,,,,,,,,,
ST1,Unstable,ST1 U2,2023-07-11,1,,,,,,,,,,,,,
ST1,Unstable,ST1 U3,2023-07-11,0,,,,,,,,,,,,,
ST2,Stable,ST2 S1,2023-07-11,0,,,,,,,,,,,,,
ST2,Stable,ST2 S2,2023-07-11,0,,,,,,,,,,,,,
ST2,Stable,ST2 S3,2023-07-11,0,,,,,,,,,,,,,
ST2,Unstable,ST2 U1,2023-07-11,0,,,,,,,,,,,,,
ST2,Unstable,ST2 U2,2023-07-11,0,,,,,,,,,,,,,
ST2,Unstable,ST2 U3,2023-07-11,0,,,,,,,,,,,,,
A1,B1,A1 B1,2023-07-06,,,,,,,,,,,,,,
A1,B2,A1 B2,2023-07-06,,,,,,,,,,,,,,
A1,B3,A1 B3,2023-07-06,,,,,,,,,,,,,,
A1,B4,A1 B4,2023-07-06,,,,,,,,,,,,,,
A2,B1,A2 B1,2023-07-06,21,,,,,,,,,,,,,
A2,B2,A2 B2,2023-07-06,7,,,,,,,,,,,,,
A2,B3,A2 B3,2023-07-06,8,,,,,,,,,,,,,
A2,B4,A2 B4,2023-07-06,0,,,,,,,,,,,,,
A3,B1,A3 B1,2023-07-06,10,,,,,,,,,,,,,
A3,B2,A3 B2,2023-07-06,7.5,,,,,,,,,,,,,
A3,B3,A3 B3,2023-07-06,11,,,,,,,,,,,,,
A3,B4,A3 B4,2023-07-06,4,,,,,,,,,,,,,
A4,B1,A4 B1,2023-07-06,10,,,,,,,,,,,,,
A4,B2,A4 B2,2023-07-06,4,,,,,,,,,,,,,
A4,B3,A4 B3,2023-07-06,10,,,,,,,,,,,,,
A4,B4,A4 B4,2023-07-06,0,,,,,,,,,,,,,
A1,B1,A1 B1,2023-10-09,13,,,,,,,,,,,,,
A1,B2,A1 B2,2023-10-09,2,,,,,,,,,,,,,
A1,B3,A1 B3,2023-10-09,0,,,,,,,,,,,,,
A1,B4,A1 B4,2023-10-09,0,,,,,,,,,,,,,
A2,B1,A2 B1,2023-10-09,15,,,,,,,,,,,,,
A2,B2,A2 B2,2023-10-09,5,,,,,,,,,,,,,
A2,B3,A2 B3,2023-10-09,4,,,,,,,,,,,,,
A2,B4,A2 B4,2023-10-09,0,,,,,,,,,,,,,
A3,B1,A3 B1,2023-10-09,0,,,,,,,,,,,,,
A3,B2,A3 B2,2023-10-09,2,,,,,,,,,,,,,
A3,B3,A3 B3,2023-10-09,3,,,,,,,,,,,,,
A3,B4,A3 B4,2023-10-09,0,,,,,,,,,,,,,
A4,B1,A4 B1,2023-10-09,0,,,,,,,,,,,,,
A4,B2,A4 B2,2023-10-09,4,,,,,,,,,,,,,
A4,B3,A4 B3,2023-10-09,1,,,,,,,,,,,,,
A4,B4,A4 B4,2023-10-09,0,,,,,,,,,,,,,
ST4,Stable,ST4 S1,2023-10-10,0,,,,,,,,,,,,,
ST4,Stable,ST4 S2,2023-10-10,0,,,,,,,,,,,,,
ST4,Stable,ST4 S3,2023-10-10,0,,,,,,,,,,,,,
ST4,Unstable,ST4 U1,2023-10-10,0,,,,,,,,,,,,,
ST4,Unstable,ST4 U2,2023-10-10,0,,,,,,,,,,,,,
ST4,Unstable,ST4 U3,2023-10-10,0,,,,,,,,,,,,,
ST2,Stable,ST2 S1,2023-10-10,0,,,,,,,,,,,,,
ST2,Stable,ST2 S2,2023-10-10,0,,,,,,,,,,,,,
ST2,Stable,ST2 S3,2023-10-10,0,,,,,,,,,,,,,
ST2,Unstable,ST2 U1,2023-10-10,0,,,,,,,,,,,,,
ST2,Unstable,ST2 U2,2023-10-10,0,,,,,,,,,,,,,
ST2,Unstable,ST2 U3,2023-10-10,0,,,,,,,,,,,,,
