Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-07-06 12:50:04,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1688662204,789886951,0,256,,2023-07-06,12:50:04,nan,nan,nan,95.9134,25.6383,95.5881,24.7514,0,0,25.6343,0,0,16.6649,101
DATA,1688662205,189865112,0,256,,2023-07-06,12:50:05,nan,nan,nan,95.9134,25.6383,95.5881,24.7514,0,0,25.6343,0,0,16.6649, 83
DATA,1688662206,39839982,17,256,,2023-07-06,12:50:06,nan,nan,nan,95.6971,25.6385,95.3956,25.019,0,0,25.6346,-8000,0,16.65,148
DATA,1688662207,39792060,21,256,,2023-07-06,12:50:07,nan,nan,nan,96.3426,25.639,96.1161,33.7837,0,0,25.6353,-16000,0,16.6308, 11
DATA,1688662208,39766073,25,256,,2023-07-06,12:50:08,nan,nan,nan,97.3698,25.6398,97.1315,36.8839,0,0,25.6361,-16000,0,16.6386,103
DATA,1688662209,39725065,29,256,,2023-07-06,12:50:09,nan,nan,nan,98.3721,25.6405,98.1251,37.2356,0,0,25.6368,-16000,0,16.6426, 73
DATA,1688662210,39711952,33,256,,2023-07-06,12:50:10,nan,nan,nan,99.2929,25.641,99.0344,37.3538,0,0,25.6376,-16000,0,16.6434, 14
