Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-10-09 09:55:56,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1696859756,713438034,0,256,,2023-10-09,09:55:56,nan,nan,nan,100.925,21.4159,100.603,24.3409,0,0,21.2905,0,0,16.5971,54
DATA,1696859757,113426923,0,256,,2023-10-09,09:55:57,nan,nan,nan,100.925,21.4159,100.603,24.3409,0,0,21.2905,0,0,16.5974,57
DATA,1696859758,113389015,17,256,,2023-10-09,09:55:58,nan,nan,nan,100.599,21.4159,100.303,24.4544,0,0,21.2905,-8000,0,16.5743,55
DATA,1696859759,113364934,21,256,,2023-10-09,09:55:59,nan,nan,nan,100.998,21.4159,100.719,31.6129,0,0,21.2905,-16000,0,16.5574,117
DATA,1696859760,113311052,25,256,,2023-10-09,09:56:00,nan,nan,nan,101.318,21.4159,101.007,36.4831,0,0,21.2905,-16000,0,16.5657,66
DATA,1696859761,113279104,29,256,,2023-10-09,09:56:01,nan,nan,nan,101.386,21.4159,101.061,36.9582,0,0,21.2905,-16000,0,16.5716,92
DATA,1696859762,113259077,33,256,,2023-10-09,09:56:02,nan,nan,nan,101.391,21.4159,101.065,37.1009,0,0,21.291,-16000,0,16.5712,27
