"remark","date","time","h2o","co2","ch4","datetime"
NA,"2023-10-10","10:04:57",13895.355,391.30069,2.2676375,2023-10-10 10:04:57
NA,"2023-10-10","10:04:58",13880.394,370.4072,2.2668188,2023-10-10 10:04:58
NA,"2023-10-10","10:04:59",13860.638,370.22159,2.2659175,2023-10-10 10:04:59
NA,"2023-10-10","10:05:00",13776.246,436.68887,2.2632661,2023-10-10 10:05:00
NA,"2023-10-10","10:05:01",13673.848,513.93781,2.2584341,2023-10-10 10:05:01
NA,"2023-10-10","10:05:02",13837.378,410.1521,2.2589175,2023-10-10 10:05:02
NA,"2023-10-10","10:05:03",13821.792,411.47662,2.2574065,2023-10-10 10:05:03
NA,"2023-10-10","10:05:04",13915.039,504.80862,2.2504458,2023-10-10 10:05:04
NA,"2023-10-10","10:05:05",14002.33,431.11551,2.2524312,2023-10-10 10:05:05
NA,"2023-10-10","10:05:06",14032.849,344.22592,2.2540471,2023-10-10 10:05:06
NA,"2023-10-10","10:05:07",13992.4,518.4577,2.239481,2023-10-10 10:05:07
NA,"2023-10-10","10:05:08",14182.092,458.31088,2.2372078,2023-10-10 10:05:08
NA,"2023-10-10","10:05:09",14225.827,313.40079,2.2452058,2023-10-10 10:05:09
NA,"2023-10-10","10:05:10",14081.714,419.42761,2.2349128,2023-10-10 10:05:10
NA,"2023-10-10","10:05:11",13987.943,486.08862,2.2293396,2023-10-10 10:05:11
NA,"2023-10-10","10:05:12",14096.646,317.77597,2.2431597,2023-10-10 10:05:12
NA,"2023-10-10","10:05:13",14016.432,375.1337,2.2353149,2023-10-10 10:05:13
NA,"2023-10-10","10:05:14",13816.683,573.77722,2.2137261,2023-10-10 10:05:14
NA,"2023-10-10","10:05:15",14274.858,416.55182,2.2220974,2023-10-10 10:05:15
NA,"2023-10-10","10:05:16",14379.286,267.56659,2.2344832,2023-10-10 10:05:16
NA,"2023-10-10","10:05:17",14366.437,266.58328,2.2334973,2023-10-10 10:05:17
NA,"2023-10-10","10:05:18",14378.907,267.0293,2.2329333,2023-10-10 10:05:18
NA,"2023-10-10","10:05:19",14406.449,266.67776,2.2321284,2023-10-10 10:05:19
NA,"2023-10-10","10:05:20",14426.967,267.27728,2.2311648,2023-10-10 10:05:20
NA,"2023-10-10","10:05:21",14438.573,267.40723,2.2301492,2023-10-10 10:05:21
NA,"2023-10-10","10:05:22",14448.971,268.25351,2.22927,2023-10-10 10:05:22
NA,"2023-10-10","10:05:23",14474.069,267.72897,2.2283093,2023-10-10 10:05:23
NA,"2023-10-10","10:05:24",14492.571,268.49893,2.2270813,2023-10-10 10:05:24
NA,"2023-10-10","10:05:25",14522.859,268.62729,2.226302,2023-10-10 10:05:25
NA,"2023-10-10","10:05:26",14555.608,268.52893,2.2251101,2023-10-10 10:05:26
NA,"2023-10-10","10:05:27",14570.657,269.23593,2.2239482,2023-10-10 10:05:27
NA,"2023-10-10","10:05:28",14562.111,270.04996,2.222687,2023-10-10 10:05:28
NA,"2023-10-10","10:05:29",14544.39,270.20731,2.2213425,2023-10-10 10:05:29
NA,"2023-10-10","10:05:30",14518.411,271.22568,2.2198806,2023-10-10 10:05:30
NA,"2023-10-10","10:05:31",14465.868,272.896,2.21849,2023-10-10 10:05:31
NA,"2023-10-10","10:05:32",14402.445,273.51074,2.2171726,2023-10-10 10:05:32
NA,"2023-10-10","10:05:33",14365.953,274.20471,2.2158635,2023-10-10 10:05:33
NA,"2023-10-10","10:05:34",14363.945,274.76285,2.2147268,2023-10-10 10:05:34
NA,"2023-10-10","10:05:35",14369.445,275.36758,2.2134221,2023-10-10 10:05:35
NA,"2023-10-10","10:05:36",14361.161,275.53516,2.212104,2023-10-10 10:05:36
NA,"2023-10-10","10:05:37",14348.433,276.30264,2.2105483,2023-10-10 10:05:37
NA,"2023-10-10","10:05:38",14340.862,276.42081,2.2092117,2023-10-10 10:05:38
NA,"2023-10-10","10:05:39",14336.724,277.15454,2.2078643,2023-10-10 10:05:39
NA,"2023-10-10","10:05:40",14315.89,277.69342,2.2059922,2023-10-10 10:05:40
NA,"2023-10-10","10:05:41",14292.894,282.51843,2.2045344,2023-10-10 10:05:41
NA,"2023-10-10","10:05:42",14264.954,278.7486,2.2004414,2023-10-10 10:05:42
NA,"2023-10-10","10:05:43",14256.163,276.4845,2.1992527,2023-10-10 10:05:43
NA,"2023-10-10","10:05:44",14251.533,278.17795,2.1984319,2023-10-10 10:05:44
NA,"2023-10-10","10:05:45",14245.766,279.73792,2.1973508,2023-10-10 10:05:45
NA,"2023-10-10","10:05:46",14241.946,280.19818,2.1956846,2023-10-10 10:05:46
NA,"2023-10-10","10:05:47",14239.581,281.21368,2.1938315,2023-10-10 10:05:47
NA,"2023-10-10","10:05:48",14251.161,282.40173,2.1918777,2023-10-10 10:05:48
NA,"2023-10-10","10:05:49",14283.057,283.27881,2.1900371,2023-10-10 10:05:49
