"remark","date","time","h2o","co2","ch4","datetime"
"","2023-07-11","08:44:32",32943.281,1199.2081,2.1006123,2023-07-11 08:44:32
"","2023-07-11","08:44:33",32922.816,1174.566,2.0977944,2023-07-11 08:44:33
"","2023-07-11","08:44:34",32909.766,1173.6893,2.0968467,2023-07-11 08:44:34
"","2023-07-11","08:44:35",32864.418,1581.3469,2.0890884,2023-07-11 08:44:35
"","2023-07-11","08:44:36",32509.855,2066.1455,2.0776807,2023-07-11 08:44:36
"","2023-07-11","08:44:37",33885.562,1285.3585,2.0998984,2023-07-11 08:44:37
"","2023-07-11","08:44:38",34043.148,989.25848,2.0995452,2023-07-11 08:44:38
"","2023-07-11","08:44:39",33782.98,1712.4736,2.0802859,2023-07-11 08:44:39
"","2023-07-11","08:44:40",35726.078,1653.5526,2.0801169,2023-07-11 08:44:40
"","2023-07-11","08:44:41",36666.266,642.49463,2.1143796,2023-07-11 08:44:41
"","2023-07-11","08:44:42",36635.949,562.56628,2.1051035,2023-07-11 08:44:42
"","2023-07-11","08:44:43",35550.551,1766.2676,2.0650662,2023-07-11 08:44:43
"","2023-07-11","08:44:44",36095.836,1264.2411,2.0892588,2023-07-11 08:44:44
"","2023-07-11","08:44:45",36628.59,577.6767,2.1015996,2023-07-11 08:44:45
"","2023-07-11","08:44:46",36615.254,562.95251,2.0979751,2023-07-11 08:44:46
"","2023-07-11","08:44:47",36624.668,1713.4688,2.0492327,2023-07-11 08:44:47
"","2023-07-11","08:44:48",38980.551,585.89032,2.1036536,2023-07-11 08:44:48
"","2023-07-11","08:44:49",39303.906,139.06265,2.1064949,2023-07-11 08:44:49
"","2023-07-11","08:44:50",39294.941,122.7656,2.1029695,2023-07-11 08:44:50
"","2023-07-11","08:44:51",38090.52,1275.2522,2.0500657,2023-07-11 08:44:51
"","2023-07-11","08:44:52",39329.734,272.94293,2.1153101,2023-07-11 08:44:52
"","2023-07-11","08:44:53",39289.059,130.6142,2.0991038,2023-07-11 08:44:53
"","2023-07-11","08:44:54",39288.309,126.27338,2.096894,2023-07-11 08:44:54
"","2023-07-11","08:44:55",38345.047,974.55322,2.0522747,2023-07-11 08:44:55
"","2023-07-11","08:44:56",38850.875,716.69885,2.0898318,2023-07-11 08:44:56
"","2023-07-11","08:44:57",39294.09,150.93192,2.0963274,2023-07-11 08:44:57
"","2023-07-11","08:44:58",39271.629,127.15718,2.0911296,2023-07-11 08:44:58
"","2023-07-11","08:44:59",38724.887,592.0296,2.0633496,2023-07-11 08:44:59
"","2023-07-11","08:45:00",38211.547,1243.4987,2.0529751,2023-07-11 08:45:00
"","2023-07-11","08:45:01",39290.645,174.0233,2.0938137,2023-07-11 08:45:01
"","2023-07-11","08:45:02",39245.543,131.66701,2.0847915,2023-07-11 08:45:02
"","2023-07-11","08:45:03",39229.758,128.90547,2.0817004,2023-07-11 08:45:03
"","2023-07-11","08:45:04",37992.969,1252.6263,2.0271241,2023-07-11 08:45:04
"","2023-07-11","08:45:05",39276.555,284.32275,2.0979817,2023-07-11 08:45:05
"","2023-07-11","08:45:06",39199.027,141.43826,2.0768965,2023-07-11 08:45:06
"","2023-07-11","08:45:07",39173.98,127.89558,2.0723176,2023-07-11 08:45:07
"","2023-07-11","08:45:08",39164.031,125.85728,2.070739,2023-07-11 08:45:08
"","2023-07-11","08:45:09",36278.66,2058.0007,1.9548218,2023-07-11 08:45:09
"","2023-07-11","08:45:10",38492.184,440.91498,2.0851558,2023-07-11 08:45:10
"","2023-07-11","08:45:11",38485.148,243.73526,2.0722351,2023-07-11 08:45:11
"","2023-07-11","08:45:12",38532.238,210.44331,2.0760889,2023-07-11 08:45:12
"","2023-07-11","08:45:13",36786.699,1439.6852,1.9714874,2023-07-11 08:45:13
"","2023-07-11","08:45:14",36930.488,2066.5566,1.9353438,2023-07-11 08:45:14
"","2023-07-11","08:45:15",39516.949,301.90875,2.0896924,2023-07-11 08:45:15
"","2023-07-11","08:45:16",39650.27,45.374977,2.0868301,2023-07-11 08:45:16
"","2023-07-11","08:45:17",39704.031,8.4890089,2.0906509,2023-07-11 08:45:17
"","2023-07-11","08:45:18",39726.52,-0.62975264,2.0924673,2023-07-11 08:45:18
"","2023-07-11","08:45:19",39743.27,-5.2384496,2.0940608,2023-07-11 08:45:19
"","2023-07-11","08:45:20",39759.07,-10.023098,2.0956409,2023-07-11 08:45:20
"","2023-07-11","08:45:21",39770.625,-14.231545,2.097396,2023-07-11 08:45:21
"","2023-07-11","08:45:22",39777.371,-19.603825,2.099156,2023-07-11 08:45:22
"","2023-07-11","08:45:23",39784.84,-24.020945,2.1002498,2023-07-11 08:45:23
"","2023-07-11","08:45:24",39791.051,-27.783398,2.10148,2023-07-11 08:45:24
"","2023-07-11","08:45:25",39799.082,-30.272785,2.1028479,2023-07-11 08:45:25
"","2023-07-11","08:45:26",39804.527,-34.570438,2.1041316,2023-07-11 08:45:26
"","2023-07-11","08:45:27",39809.59,-36.723,2.1052021,2023-07-11 08:45:27
"","2023-07-11","08:45:28",39818.625,-40.634018,2.1061079,2023-07-11 08:45:28
"","2023-07-11","08:45:29",39825.828,-43.1455,2.1071394,2023-07-11 08:45:29
"","2023-07-11","08:45:30",39833.168,-45.960621,2.1079648,2023-07-11 08:45:30
"","2023-07-11","08:45:31",39839.648,-48.367676,2.1087566,2023-07-11 08:45:31
"","2023-07-11","08:45:32",38477.785,821.88184,2.0274155,2023-07-11 08:45:32
"","2023-07-11","08:45:33",38024.875,1404.7979,2.0187352,2023-07-11 08:45:33
"","2023-07-11","08:45:34",36652.086,2253.5049,1.932576,2023-07-11 08:45:34
"","2023-07-11","08:45:35",39682.094,139.82468,2.1035247,2023-07-11 08:45:35
"","2023-07-11","08:45:36",39867.055,-47.231228,2.1139226,2023-07-11 08:45:36
"","2023-07-11","08:45:37",39874.426,-56.506996,2.1152141,2023-07-11 08:45:37
"","2023-07-11","08:45:38",39880.445,-58.21542,2.1168513,2023-07-11 08:45:38
"","2023-07-11","08:45:39",39886.785,-58.504707,2.1183118,2023-07-11 08:45:39
"","2023-07-11","08:45:40",39888.715,-59.355667,2.1196433,2023-07-11 08:45:40
"","2023-07-11","08:45:41",39890.004,-59.381355,2.1207119,2023-07-11 08:45:41
"","2023-07-11","08:45:42",39892.633,-58.769276,2.1215342,2023-07-11 08:45:42
"","2023-07-11","08:45:43",39901.801,-58.66666,2.1227727,2023-07-11 08:45:43
"","2023-07-11","08:45:44",39904.602,-58.580868,2.1242654,2023-07-11 08:45:44
"","2023-07-11","08:45:45",39910.812,-57.920185,2.1253743,2023-07-11 08:45:45
"","2023-07-11","08:45:46",39912.895,-58.689095,2.1262437,2023-07-11 08:45:46
"","2023-07-11","08:45:47",39916.148,-57.321922,2.1275193,2023-07-11 08:45:47
"","2023-07-11","08:45:48",39920.883,-56.569176,2.1283657,2023-07-11 08:45:48
"","2023-07-11","08:45:49",39925.953,-55.754078,2.1294539,2023-07-11 08:45:49
"","2023-07-11","08:45:50",39932.879,-54.630943,2.1304285,2023-07-11 08:45:50
"","2023-07-11","08:45:51",39939.801,-53.213169,2.1312627,2023-07-11 08:45:51
